Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
YRSBP,YRSBP,,0,0,0,0,0,0,0,0,0.000666,58,60,133,0,0,0
TASB,TASB,,110,32.383227,1,1,1,0,10.440715,0.094931,0.004431,1,21,13,0.999833,5994,1
TASBP,TASBP,,102,55.507735,1,1,1,0,0,0,0.00443,0,45,30,1,5151,0.683108
TANL,TANL,,102,24.561021,1,1,1,0,0,0,0.00443,0,45,134,1,5151,0.683108
TANLP,TANLP,,0,0,0,0,0,0,0,0,0.000666,59,61,135,0,0,0
TTLK,TTLK,,110,25.075574,1,1,1,0,10.440715,0.094931,0.004431,1,21,40,0.999833,5994,1
TGKB,TGKB,,0,0,0,0,0,0,0,0,0.000666,60,62,136,0,0,0
TGKBP,TGKBP,,102,46.220872,1,1,1,0,0,0,0.00443,0,45,14,1,5151,0.683108
TORS,TORS,,0,0,0,0,0,0,0,0,0.000666,61,63,138,0,0,0
TORSP,TORSP,,102,51.272667,1,1,1,0,0,0,0.00443,0,45,137,1,5151,0.683108
TRFM,TRFM,,0,0,0,0,0,0,0,0,0.000666,62,64,139,0,0,0
TMKS,TMKS,,0,0,0,0,0,0,0,0,0.000666,63,65,140,0,0,0
TUZA,TUZA,,0,0,0,0,0,0,0,0,0.000666,64,66,141,0,0,0
TUCH,TUCH,,102,55.549203,1,1,1,0,0,0,0.00443,0,45,9,1,5151,0.683108
UKUZ,UKUZ,,110,25.504667,1,1,1,0,10.440715,0.094931,0.004431,1,21,147,0.999833,5994,1
URKA,URKA,,0,0,0,0,0,0,0,0,0.000666,65,67,142,0,0,0
URKZ,URKZ,,102,15.877482,1,1,1,0,0,0,0.00443,0,45,105,1,5151,0.683108
LIFE,LIFE,,109,12.364738,2,0.990991,0.995455,0,0.094083,0.094083,0.004396,1,21,95,1,5886,0.991069
HIMC,HIMC,,0,0,0,0,0,0,0,0,0.000666,66,68,144,0,0,0
HIMCP,HIMCP,,110,19.582242,1,1,1,0,0.094931,0.094931,0.004431,1,21,79,0.999833,5994,1
TRCN,TRCN,,0,0,0,0,0,0,0,0,0.000666,67,69,145,0,0,0
TCDR,TCDR,,0,0,0,0,0,0,0,0,0.000666,68,70,146,0,0,0
CNTL,CNTL,,110,31.564457,1,1,1,0,10.440715,0.094931,0.004431,1,21,90,0.999833,5994,1
CNTLP,CNTLP,,110,36.981907,1,1,1,0,10.440715,0.094931,0.004431,1,21,23,0.999833,5994,1
PRFN,PRFN,,110,4.834742,1,1,1,0,10.440715,0.094931,0.004431,1,44,72,0.999833,5994,1
CHKZ,CHKZ,,102,38.951733,1,1,1,0,0,0,0.00443,0,11,116,1,5151,0.683108
CHMK,CHMK,,110,9.945021,1,1,1,0,10.440715,0.094931,0.004431,1,21,104,0.999833,5994,1
CHEP,CHEP,,0,0,0,0,0,0,0,0,0.000666,69,71,148,0,0,0
ELTZ,ELTZ,,102,32.365358,1,1,1,0,0,0,0.00443,0,45,77,1,5151,0.683108
UNKL,UNKL,,0,0,0,0,0,0,0,0,0.000666,70,72,149,0,0,0
YAKG,YAKG,,102,55.344516,1,1,1,0,0,0,0.00443,0,45,102,1,5151,0.683108
YKEN,YKEN,,102,49.309743,1,1,1,0,0,0,0.00443,0,45,122,1,5151,0.683108
YKENP,YKENP,,102,50.61988,1,1,1,0,0,0,0.00443,0,11,150,1,5151,0.683108
VZRZ,VZRZ,,0,0,0,0,0,0,0,0,0.000666,71,73,151,0,0,0
VZRZP,VZRZP,,0,0,0,0,0,0,0,0,0.000666,72,74,152,0,0,0
KUZB,KUZB,,102,51.599935,1,1,1,0,0,0,0.00443,0,11,59,1,5151,0.683108
DIOD,DIOD,,110,7.904801,1,1,1,0,0.094931,0.094931,0.004431,1,44,10,0.999833,5994,1
MOBB,MOBB,,0,0,0,0,0,0,0,0,0.000666,73,75,155,0,0,0
NAUK,NAUK,,102,55.497223,1,1,1,0,0,0,0.00443,0,45,166,1,5151,0.683108
OMZZP,OMZZP,,102,21.978525,1,1,1,0,0,0,0.00443,0,11,153,1,5151,0.683108
ROSB,ROSB,,110,36.197448,1,1,1,0,10.440715,0.094931,0.004431,1,21,93,0.999833,5994,1
RGSS,RGSS,,0,0,0,0,0,0,0,0,0.000666,74,76,157,0,0,0
